Price,City,District,Neighborhood,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
25000TL,İstanbul,Bakırköy,Osmaniye Mahallesi,15794285,30 Ağustos 2024,Kiralık,90 m²,2+1,Yüksek Giriş,Merkezi (Pay Ölçer),25000 TL,1,30 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
14000TL,İstanbul,Küçükçekmece,Kanarya Mahallesi,15792263,29 Ağustos 2024,Kiralık,145 m²,3+1,6.Kat,Kombi Doğalgaz,14000 TL,1,29 Ağustos 2024,Konut,Daire,150 m²,21 Ve Üzeri,7,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,2,,,,,,,,,
15000TL,İstanbul,Sancaktepe,Meclis Mahallesi,15789680,29 Ağustos 2024,Kiralık,75 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,,1,29 Ağustos 2024,Konut,Daire,85 m²,2,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
23500TL,İstanbul,Sancaktepe,Meclis Mahallesi,15789618,29 Ağustos 2024,Kiralık,120 m²,3+1,2.Kat,Kombi Doğalgaz,,2,29 Ağustos 2024,Konut,Daire,140 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
12000TL,İstanbul,Fatih,Seyyid Ömer Mahallesi,15789073,29 Ağustos 2024,Kiralık,75 m²,2+1,Bodrum Kat,Kombi Doğalgaz,12000 TL,1,29 Ağustos 2024,Konut,Daire,80 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Yok,Betonarme,1,Yok,5 m²,25 m²,5 m²,Evet,100 TL,,,
16000TL,İstanbul,Beylikdüzü,Yakuplu Mahallesi,15786429,28 Ağustos 2024,Kiralık,60 m²,2+1,Çatı Katı,Kombi Doğalgaz,32000 TL,1,28 Ağustos 2024,Konut,Daire,80 m²,11-15,5,Boş,Hayır,Genel Fiyat,İkinci El,,Var,Betonarme,,,,,,,250 TL," Açık Balkon, Açık Teras  ",2,
20000TL,İstanbul,Bahçelievler,Şirinevler Mahallesi,15784915,28 Ağustos 2024,Kiralık,80 m²,2+1,Bahçe Katı,Kombi Doğalgaz,20000 TL,1,28 Ağustos 2024,Konut,Daire,90 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,Evet,,,1,
30000TL,İstanbul,Şişli,Harbiye Mahallesi,15778045,27 Ağustos 2024,Kiralık,140 m²,1 Oda,,Kombi Doğalgaz,60000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Yok,Betonarme,1,Yok,,,,Hayır,,,,
37500TL,İstanbul,Şişli,Harbiye Mahallesi,15777948,27 Ağustos 2024,Kiralık,140 m²,1+1,,Kombi Doğalgaz,75000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,,Eşyalı,,Betonarme,1,Yok,,,,Hayır,,,,
40000TL,İstanbul,Şişli,Harbiye Mahallesi,15777725,27 Ağustos 2024,Kiralık,140 m²,1+1,,Kombi Doğalgaz,80000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Var,Betonarme,1,Yok,,,,Hayır,,,1,
26000TL,İstanbul,Kartal,Hürriyet Mahallesi,15776114,27 Ağustos 2024,Kiralık,68 m²,2+1,13.Kat,Merkezi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,99 m²,0 (Yeni),21,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Bahçelievler,Hürriyet Mahallesi,15770391,26 Ağustos 2024,Kiralık,85 m²,2+1,2.Kat,Kombi Doğalgaz,18000 TL,1,26 Ağustos 2024,Konut,Daire,95 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,," Açık Balkon, Kapalı Balkon  ",2,
18000arrow_downward%10TL,İstanbul,Büyükçekmece,Ulus Mahallesi,15767276,30 Ağustos 2024,Kiralık,120 m²,3+1,4.Kat,Kombi Doğalgaz,18000 TL,2,25 Ağustos 2024,Konut,Daire,130 m²,3,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,2,Yok,,,,Hayır,,,1,
30000TL,İstanbul,Esenyurt,Cumhuriyet Mahallesi,15766644,25 Ağustos 2024,Kiralık,85 m²,2+1,4.Kat,Kombi Doğalgaz,60000 TL,2,25 Ağustos 2024,Konut,Daire,108 m²,16-20,17,Boş,Evet,Genel Fiyat,İkinci El,Eşyalı,Var,Kagir,2,,4 m²,30 m²,5 m²,Evet,1990 TL,Fransız Balkon,1,2 m²
21000TL,İstanbul,Ümraniye,Namık Kemal Mahallesi,15765924,30 Ağustos 2024,Kiralık,95 m²,2+1,2.Kat,Kombi Doğalgaz,21000 TL,2,25 Ağustos 2024,Konut,Daire,110 m²,16-20,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Bahçelievler,Hürriyet Mahallesi,15765892,26 Ağustos 2024,Kiralık,75 m²,2+1,3.Kat,Kombi Doğalgaz,18000 TL,1,25 Ağustos 2024,Konut,Daire,80 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,100 TL,,,
20000TL,İstanbul,Ümraniye,Elmalıkent Mahallesi,15756665,23 Ağustos 2024,Kiralık,92 m²,2+1,Bahçe Katı,Kombi Doğalgaz,20000 TL,1,23 Ağustos 2024,Konut,Daire,100 m²,16-20,1,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
680000arrow_downward%15TL,İstanbul,Beşiktaş,Nisbetiye Mahallesi,15754460,28 Ağustos 2024,Kiralık,426 m²,6+1,18.Kat,Merkezi (Pay Ölçer),,4,23 Ağustos 2024,Konut,Residence,578 m²,1,44,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
25000TL,İstanbul,Fatih,Akşemsettin Mahallesi,15739142,30 Ağustos 2024,Kiralık,115 m²,3+1,2.Kat,Kombi Doğalgaz,30000 TL,1,21 Ağustos 2024,Konut,Daire,120 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,,Açık Balkon,1,
